Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
ABUSE PREVENTION,1E101,SHOPP ELDER ABUSE BX 1-8,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,953 SOUTHERN BOULEVARD,BRONX,10459,718-542-0006 
ABUSE PREVENTION,2E101,JASA ELDER ABUSE,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,44 COURT STREET,BROOKLYN,11201,718-943-7752 
ABUSE PREVENTION,3E201,CARTER BURDEN ELDER ABUSE,"CARTER BURDEN NETWORK, INC.",1484 FIRST AVENUE,NEW YORK,10021,212-879-7400 
ABUSE PREVENTION,4E101,JASA ELDER ABUSE,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,97-77 QUEENS BOULEVARD,REGO PARK,11374,718-286-1524 
ABUSE PREVENTION,5E101,CASC ELDER ABUSE,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226 
ABUSE PREVENTION,62001,ELDER ABUSE MULTIDISCIPLINARY TEAMS SERV,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,425 EAST 61 STREET,New York,10010,646-845-8202 
ABUSE PREVENTION,64701,Weill Cornell PROTECT ,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,478 FIRST AVENUE,NEW YORK,10016,914-997-4333 
CAREGIVER,1K101,PSS CAREGIVER SUPPORT PROGRAM,PRESBYTERIAN SENIOR SERVICES  ,325 EAST 156TH STREET,BRONX,10451,212-222-3132 
CAREGIVER,1K501,NSHOPP CAREGIVERS,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,953 Southern Blvd,Bronx,10459,718-542-0006 
CAREGIVER,2K201,JASA BROOKLYN CAREGIVER RESPITE PROGRAM,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-934-4180 
CAREGIVER,2K401,HEIGHTS AND HILL CAREGIVER PROGRAM,"HEIGHTS AND HILLS, INC. ",81 WILLOUGHBY STREET,BROOKLYN,11201,718-596-8789 
CAREGIVER,3K301,LENOX HILL CAREGIVERS,LENOX HILL NEIGHBORHOOD HOUSE INC ,331 EAST 70TH STREET,New York,10021,212-744-5022 
CAREGIVER,3K401,HMH CAREGIVER SERVICES MANHATTAN,HAMILTON MADISON HOUSE INC  ,100 GOLD STREET,NEW YORK,10038,212-788-5580 
CAREGIVER,4K101,WQCN AT SUNNYSIDE COMMUNITY SERVICES,SUNNYSIDE COMMUNITY SERVICES INC ,43-31 39TH STREET,LONG ISLAND CIT,11104,718-392-6945 
CAREGIVER,4K301,CAREGIVER PROGRAM OF SNAP,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VILLAGE,11427,718-527-5380 
CAREGIVER,5K101,JCC OF SI CAREGIVER SERVICES,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5287 
CAREGIVER,6K101,HMH CAREGIVER SERVICES CITYWIDE,HAMILTON MADISON HOUSE INC  ,100 GOLD STREET,NEW YORK,10038,212-788-5580 
CAREGIVER,6K301,PARTNERS IN CARING AT SAGE,"SERVICES AND ADVOCACY FOR GAY,LESBIAN,BISEXUAL AND",305 7TH AVENUE,NEW YORK,10001,212-741-2247 
CAREGIVER,6K501,VISIONS CAREGIVER PROGRAM,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIR,500 GREENWICH STREET,NEW YORK,10013,212-625-1616 
CASE MANAGEMENT ONLY,1M901,NEIGHBORHOOD SHOPP CASE MANAGEMENT BX-1,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-542-0006 
CASE MANAGEMENT ONLY,1MA01,RAIN CASE MANAGEMENT BX-2,REGIONAL AID FOR INTERIM NEEDS INC ,3377A WHITE PLAINS ROAD,BRONX,10467,347-346-9676 
CASE MANAGEMENT ONLY,1MB01,JASA CASE MANAGEMENT BX-03,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1351 WHITE PLAINS ROAD,BRONX,10462,347-547-7140 
CASE MANAGEMENT ONLY,2ME01,HEIGHTS AND HILLS CASE MANAGEMENT BK-02,"HEIGHTS AND HILLS, INC. ",57 WILLOUGHBY STREET,BROOKLYN,11201,718-596-8789 
CASE MANAGEMENT ONLY,2MF01,SPECIAL SVCS. FOR SR. CASE MANG. BK-3,RECREATION ROOMS AND SETTLEMENT INC ,1304 EAST 57TH STREET,BROOKLYN,11234,718-257-1600 
CASE MANAGEMENT ONLY,2MG01,JASA CASE MANAGEMENT BK-4,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1090 CONEY ISLAND AVENUE,BROOKLYN,11230,718-934-4294 
CASE MANAGEMENT ONLY,2MH01,BENSON RIDGE CASE MANAGEMENT BK-5,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,6823 FIFTH AVENUE,BROOKLYN,11220,718-680-3530 
CASE MANAGEMENT ONLY,2MJ01,JASA CASE MANAGEMENT BK-6,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3161 BRIGHTON 6TH STREET,BROOKLYN,11235,718-943-1615 
CASE MANAGEMENT ONLY,2MK01,JASA CASE MANAGEMENT BK-7,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-934-4295 
CASE MANAGEMENT ONLY,2MP01,RIDGEWOOD BUSHWICK CASE MANAGEMENT BK-01,RISEBORO COMMUNITY PARTNERSHIP INC,1175 Gates Avenue,BROOKLYN,11221,929-251-6626 
CASE MANAGEMENT ONLY,3M801,NEW YORK FOUNDATION CASE MANAGEMENT MN-1,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,11 PARK PLACE,NEW  YORK,10007,212-962-7817 
CASE MANAGEMENT ONLY,3M901,SELFHELP PROJECT CASE MANAGEMENT MN-2,SELFHELP COMMUNITY SERVICES INC ,"520 EIGHTH AVENUE,",NEW  YORK,10018,212-787-8106 
CASE MANAGEMENT ONLY,3MA01,LENOX HILL CASE MANAGEMENT MN-3,LENOX HILL NEIGHBORHOOD HOUSE INC ,331 EAST 70TH STREET,NEW  YORK,10021,212-218-0506 
CASE MANAGEMENT ONLY,4MB01,SUNNYSIDE CASE MANAGEMENT,SUNNYSIDE COMMUNITY SERVICES INC ,43-31 39TH STREET,SUNNYSIDE,11104,718-784-6173 
CASE MANAGEMENT ONLY,4MD01,QUEENS COMM. HOUSE CASE MANAGEMENT QNS-3,QUEENS COMMUNITY HOUSE INC. ,107-20 71ST ROAD,FOREST HILLS,11375,718-896-8511 
CASE MANAGEMENT ONLY,4ME01,SELFHELP PROJECT QUEENS,SELFHELP COMMUNITY SERVICES INC ,45-25 KISSENA BOULEVARD,FLUSHING,11355,718-321-8194 
CASE MANAGEMENT ONLY,4MF01,SOUTHWEST QUEENS CASE MANAGEMENT-QN 5,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 JAMAICA AVENUE,HOLLIS,11423,718-217-0126 
CASE MANAGEMENT ONLY,4MG01,SNAP CASE MANAGEMENT QNS-06,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VIALLAGE,11427,718-527-5380 
CASE MANAGEMENT ONLY,4MH01,JASA CASE MANAGEMENT-QN 7,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR ROCKAWAY,11691,718-713-3413 
CASE MANAGEMENT ONLY,5M401,CASC CSMG,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226 
CONGREGATE SITES,15E03,SOUNDVIEW HOUSE SOCIAL CLUB,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,1674 SEWARD AVENUE,BRONX,10473,718-542-0006 
CONGREGATE SITES,17602,Sedgwick Houses Social Club,BRONXWORKS INC,1553 UNIVERSITY AVENUE,BRONX,10453,646-393-4000 
CONGREGATE SITES,1A602,NYCHA SITE HIGHBRIDGE GARDENS,PRESBYTERIAN SENIOR SERVICES  ,1181 NELSON AVENUE,BRONX,10452,718-588-3004 
CONGREGATE SITES,21H02,GLENMORE SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC ,1777 PITKIN AVENUE,BROOKLYN,11212,718-000-0000 
CONGREGATE SITES,21H03,Brownsville Social Club,WAYSIDE OUT-REACH DEVELOPMENT INC ,528 MOTHER GASTON BLVD,BROOKLYN,11212,718-345-5665 
CONGREGATE SITES,21J02,Langston Hughes Social Club,WAYSIDE OUT-REACH DEVELOPMENT INC ,301  SUTTER AVENUE ,BROOKLYN ,11212,718-498-2990 
CONGREGATE SITES,28702,Cypress Hills Social Club ,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER,3208 FULTON STREET,BROOKLYN,11208,718-235-0064 
CONGREGATE SITES,34104,Lincoln Social Club ,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",60 EAST 135TH STREET,NEW YORK,10037,212-926-4465 
CONGREGATE SITES,39902,Wagner Senior Center,UNION SETTLEMENT ASSOCIATION ,435 East 120th Street,New York,10035,212-828-6046 
CONGREGATE SITES,41H02,RAICES CORONA NEIGHBORHOOD SENIOR CENT,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,40-15 COLLEGE POINT BLVD,FLUSHING,11354,718-961-7670 
CONGREGATE SITES,43S02,ASTORIA NYCHA SITE 9,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,21-21 30TH DRIVE,LONG ISLAND CIT,11102,718-726-9642 
GERIATRIC MENTAL HEALTH ,1G701,JASA MENTAL HEALTH,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,247 West 37th Street,NEW YORK,10018,718-365-4044 
GERIATRIC MENTAL HEALTH ,3G101,SPOP MENTAL HEALTH,SERVICE PROGRAM FOR OLDER PEOPLE INC ,302 WEST 91ST STREET,NEW YORK,10024,212-787-7120 
GERIATRIC MENTAL HEALTH ,4G801,SAMUEL FIELD MENTAL HEALTH,SAMUEL FIELD YM & YWHA INC  ,58-20   Little Neck Parkway,Little Neck  ,11362,718-225-6750 
GERIATRIC MENTAL HEALTH ,5G301,WEILL CORNELL MENTAL HEALTH,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,1300 YORK AVENUE,NEW YORK,10065,914-997-4333 
HOME CARE,1H501,PERSONAL TOUCH -BRONX,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718-468-2500 
HOME DELIVERED MEALS,15X01,MID BRONX HOME DELIVERED MEALS,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-992-2057 
HOME DELIVERED MEALS,15Y01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC ,811 Morris Park Avenue,BRONX,10462,718-231-7246 
HOME DELIVERED MEALS,15Z01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC ,811 Morris Park Avenue,BRONX,10462,718-231-7246 
HOME DELIVERED MEALS,27Y01,JCCGCI HOME DELIVERED MEALS,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH  STREET  ,BROOKLYN,11224,718-627-2500 
HOME DELIVERED MEALS,29D01,WAYSIDE HOME DELIVERED MEALS,WAYSIDE OUT-REACH DEVELOPMENT INC ,460 DUMONT AVENUE,BROOKLYN,11212,929-234-6333 
HOME DELIVERED MEALS,29E01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,247 West 37th Street,New York,10018,718-769-7455
HOME DELIVERED MEALS,29F01,BAYRIDGE HOME DELIVERED MEALS,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,11209,718-748-0650 
HOME DELIVERED MEALS,29G01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,247 West 37th Street,New York,10018,718-337-1989 
HOME DELIVERED MEALS,29H01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RISEBORO COMMUNITY PARTNERSHIP INC,565 Bushwick Avenue,BROOKLYN,11206,718-782-6334 
HOME DELIVERED MEALS,29R01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RISEBORO COMMUNITY PARTNERSHIP INC,565 Bushwick Avenue,BROOKLYN,11206,718-782-6334 
HOME DELIVERED MEALS,36F01,HENRY ST HOME DELIVERED MEALS,HENRY STREET SETTLEMENT  ,265 HENRY STREET,NEW YORK,10002,212-473-1474 
HOME DELIVERED MEALS,36G01,ENCORE HOME DELIVERED MEALS,ENCORE COMMUNITY SERVICES  ,239 WEST 49TH STREET,NEW YORK,10019,212-581-2910 
HOME DELIVERED MEALS,36H01,STANLEY ISAACS HOME DELIVERED MEALS,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-360-7620 
HOME DELIVERED MEALS,36J01,CHARLES WALBURG HOME DELIVERED MEALS,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC ,163 WEST 125TH STREET,NEW YORK,10027,212-222-2552 
HOME DELIVERED MEALS,46E01,CCNS SWQ HOME DELIVERED MEALS PROGRAM,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,191 Joralemon St,Brooklyn,11201,718-806-1080 
HOME DELIVERED MEALS,46G01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,247  West 37th Street,New York,10018,718-327-6023 
HOME DELIVERED MEALS,46H01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,191 Joralemon St,Brooklyn,11201,718-357-4903 
HOME DELIVERED MEALS,46J01,SNAP HOME DELIVERED MEALS,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VILLAGE,11427,718-454-2385 
HOME DELIVERED MEALS,46N01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,191 Joralemon St,Brooklyn,11201,718-806-1080 
HOME DELIVERED MEALS,46P01,PETER CARDELLA HOME DELIVERED MEALS,PETER CARDELLA SENIOR CITIZEN CENTER INC ,68-52 FRESH POND ROAD,RIDGEWOOD,11385,718-497-2908 
HOME DELIVERED MEALS,46R01,QUEENS COMM HOUSE HOME DELIVERED MEALS,QUEENS COMMUNITY HOUSE INC. ,108-25 62nd DRIVE,FOREST HILLS,11375,718-592-5757 
HOME DELIVERED MEALS,46S01,FLORENCE E. SMITH HOME DELIVERED MEALS,CORONA CONGREGATIONAL CHURCH  ,102-18 34TH AVENUE,CORONA,11368,718-899-0553 
HOME DELIVERED MEALS,55601,MEALS ON WHEELS OF S.I.,MEALS ON WHEELS OF STATEN ISLAND INC ,304 PORT RICHMOND AVENUE,STATEN ISLAND,10302,718-727-4435 
INNOVATIVE SENIOR CENTERS,15E01,Neighborhood SHOPP Innovative Senior Center,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-542-0222 
INNOVATIVE SENIOR CENTERS,15G01,BronxWorks Innovative Senior Center,BRONXWORKS INC,80 EAST 181ST STREET,BRONX,10453,718-933-5300 
INNOVATIVE SENIOR CENTERS,28G01,Ridgewood Bushwick Innovative Senior Center,RISEBORO COMMUNITY PARTNERSHIP INC,9 NOLL STREET,BROOKLYN,11206,718-782-3601 
INNOVATIVE SENIOR CENTERS,28L01,JCCGCI Innovative Senior Center,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,718-449-5000 
INNOVATIVE SENIOR CENTERS,35D01,Carter Burden Innovative Senior Center,"CARTER BURDEN NETWORK, INC.",312 EAST 109 STREET,NEW YORK,10029,212-423-9665 
INNOVATIVE SENIOR CENTERS,35E01,Sirovich Innovative Senior Center,THE EDUCATIONAL ALLIANCE INC  ,331 EAST 12TH STREET,NEW YORK,10003,646-395-4523 
INNOVATIVE SENIOR CENTERS,35F01,FIND Aid Innovative Senior Center,FIND AID FOR THE AGED  ,141 WEST 73RD STREET,NEW YORK,10023,212-787-7710 
INNOVATIVE SENIOR CENTERS,35K01,Lenox Hill Innovative Senior Center,LENOX HILL NEIGHBORHOOD HOUSE INC ,343 EAST 70TH STREET,NEW YORK,10021,212-218-0316 
INNOVATIVE SENIOR CENTERS,35K02,Lenox Hill Innovative Senior Center,LENOX HILL NEIGHBORHOOD HOUSE INC ,343 EAST 70TH STREET,NEW YORK,10021,212-744-5905 
INNOVATIVE SENIOR CENTERS,35M01,YM YWHA INNOVATIVE SENIOR CENTER,YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC ,54 NAGLE AVENUE,NEW YORK,10040,212-569-6200 
INNOVATIVE SENIOR CENTERS,45N01,HANAC Harmony JVL Innovative Senior Center,"HANAC, INC. ",27-40 HOYT AVENUE SOUTH,ASTORIA,11102,718-396-5002 
INNOVATIVE SENIOR CENTERS,45T01,Selfhelp Innovative Senior Center,SELFHELP COMMUNITY SERVICES INC ,45-25 KISSENA BOULEVARD,FLUSHING,11355,718-886-5777 
INNOVATIVE SENIOR CENTERS,45V01,SNAP Innovative Senior Center,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER  BOULEVARD,QUEENS VILLAGE,11427,718-454-2100 
INNOVATIVE SENIOR CENTERS,57401,JCC of Staten Island Innovative Senior Center,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1466 MANOR ROAD,STATEN ISLAND,10314,718-475-5200 
INNOVATIVE SENIOR CENTERS,64801,VISIONS Innovative Senior Center,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIR,135 WEST 23RD STREET,NEW YORK,10011,646-486-4444 
INNOVATIVE SENIOR CENTERS,64901,SAGE Innovative Senior Center,"SERVICES AND ADVOCACY FOR GAY,LESBIAN,BISEXUAL AND",305 SEVENTH AVENUE,NEW YORK,10001,212-741-2247 
INNOVATIVE SENIOR CENTERS,64902,SAGE Center at Ingersoll Senior Residences,"SERVICES AND ADVOCACY FOR GAY,LESBIAN,BISEXUAL AND",112 Saint Edwards Street,Brook,11205,212-741-2247 
LEGAL SERVICES,1AA01,LSNY BRONX,LSNY-BRONX CORPORATION,349 EAST 149TH STREET,BRONX,10451,917-661-4500 
LEGAL SERVICES,20I01,SOUTH BROOKLYN LEGAL SERVICES INC,BROOKLYN LEGAL SERVICES INC,105 Court Street,Brooklyn,11201,646-442-3563 
LEGAL SERVICES,32V01,MOBILIZATION FOR JUSTICE INC,MOBILIZATION FOR JUSTICE INC  ,100 WILLIAM STREET,NEW YORK,10038,212-417-3700 
LEGAL SERVICES,32V02,NORTHERN MANHATTAN IMPROVEMENT CO,MOBILIZATION FOR JUSTICE INC  ,76 WADSWORTH AVENUE,NEW YORK,10033,212-822-8300 
LEGAL SERVICES,40A01,JASA LEGAL SERVICES,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,97-77 QUEENS BOULEVARD,FLUSHING,11374,718-286-1500 
NEIGHBORHOOD SENIOR CENTE,10101,YM YWHA RIVERDALE Y SENIOR CENTER,YM YWHA OF THE BRONX dba RIVERDALE YM YWHA ,5625 ARLINGTON AVENUE,BRONX,10471,718-548-8200 
NEIGHBORHOOD SENIOR CENTE,10401,MARBLE HILL NEIGHBORHOOD SENIOR CENTER,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,5365 BROADWAY,Bronx,10463,718-562-8551 
NEIGHBORHOOD SENIOR CENTE,10A01,MITCHELL NEIGHBORHOOD SENIOR CENTER,EAST SIDE HOUSE INC  ,188 LINCOLN AVENUE,BRONX,10454,718-665-2168 
NEIGHBORHOOD SENIOR CENTE,10C01,N SHOPP LEON NEIGHBORHOOD SENIOR CENTE,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,735 EAST 152ND STREET,BRONX,10455,718-708-6897 
NEIGHBORHOOD SENIOR CENTE,10D01,VAN CORTLANDT NEIGHBORHOOD SENIOR CENT,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3880 SEDGWICK AVENUE,BRONX,10463,718-549-4700 
NEIGHBORHOOD SENIOR CENTE,10F01,RAIN BOSTON SECOR NEIGHBORHOOD SR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BIVONA STREET,BRONX,10475,718-671-8550 
NEIGHBORHOOD SENIOR CENTE,10G01,CONCOURSE PLAZA WELLNESS NC,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-588-8200 
NEIGHBORHOOD SENIOR CENTE,10H01,E. ROBERT MOORE NEIGHBORHOOD SENIOR CENT,BRONXWORKS INC,515 JACKSON AVENUE,BRONX,10455,718-665-5559 
NEIGHBORHOOD SENIOR CENTE,10I01,PSS DAVIDSON NEIGHBORHOOD SENIOR CENTE,PRESBYTERIAN SENIOR SERVICES  ,950 UNION AVENUE,BRONX,10459,718-328-2811 
NEIGHBORHOOD SENIOR CENTE,10J01,RAIN GUNHILL NEIGHBORHOOD SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,3377 WHITE PLAINS ROAD,BRONX,10467,718-881-5589 
NEIGHBORHOOD SENIOR CENTE,10K01,THOMAS GUESS NEIGHBORHOOD SENIOR CENT,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,2070 CLINTON AVENUE,BRONX,10457,718-584-2357 
NEIGHBORHOOD SENIOR CENTE,10M01,BAY EDEN NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1220 EAST 229TH STREET,BRONX,10468,718-882-3815 
NEIGHBORHOOD SENIOR CENTE,10M02,SUE GINSBURG SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,975 WARING AVENUE,BRONX,10469,718-881-1758 
NEIGHBORHOOD SENIOR CENTE,10N01,WILLIAM HODSON NEIGHBORHOOD SENIOR CTR,WILLIAM HODSON COMMUNITY CENTER INC ,1320 WEBSTER AVENUE,BRONX,10456,718-538-1515 
NEIGHBORHOOD SENIOR CENTE,10S01,PSS ANDREW JACKSON NEIGHBORHOOD SR CT,PRESBYTERIAN SENIOR SERVICES  ,325 EAST 156TH STREET,BRONX,10451,718-885-1640 
NEIGHBORHOOD SENIOR CENTE,10S02,MORRISANIA AIR RIGHTS SOCIAL CLUB,PRESBYTERIAN SENIOR SERVICES  ,3135 PARK AVENUE,BRONX,10451,718-992-2528 
NEIGHBORHOOD SENIOR CENTE,10W01,JAMES MONROE NEIGHBORHOOD SENIOR CENT,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1776 Story a STORY AVENUE,BRONX,10472,718-893-3484 
NEIGHBORHOOD SENIOR CENTE,11J01,RAIN MIDDLETOWN NEIGHBORHOOD SENIOR CT,REGIONAL AID FOR INTERIM NEEDS INC ,3035 MIDDLETOWN ROAD,BRONX,10461,718-822-0486 
NEIGHBORHOOD SENIOR CENTE,11M01,RAIN BOSTON EAST NEIGHBORHOOD SENIOR CT,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-654-9200 
NEIGHBORHOOD SENIOR CENTE,11N01,PSS PARKSIDE NEIGHBORHOOD SENIOR CENTE,PRESBYTERIAN SENIOR SERVICES  ,644 ADEE AVENUE,BRONX,10467,718-881-7780 
NEIGHBORHOOD SENIOR CENTE,11P01,EAST CONCOURSE NSC,BRONXWORKS INC,236 EAST TREMONT AVENUE,BRONX,10457,718-731-6300 
NEIGHBORHOOD SENIOR CENTE,11T01,BETANCES NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,607 CONCORD AVE,BRONX,10455,718-292-4922 
NEIGHBORHOOD SENIOR CENTE,12801,SISTER ANNUNCIATA BETHEL NSC,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZ,243 EAST 204TH STREET,BRONX,10458,718-365-3725 
NEIGHBORHOOD SENIOR CENTE,12A01,ARTURO SCHOMBURG NEIGHBORHOOD SENIOR,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1315 FRANKLIN AVENUE,BRONX,10456,718-842-6880 
NEIGHBORHOOD SENIOR CENTE,12D01,RAIN BOSTON ROAD NEIGHBORHOOD SENIOR C,REGIONAL AID FOR INTERIM NEEDS INC ,2424 BOSTON ROAD,BRONX,10467,718-547-8827 
NEIGHBORHOOD SENIOR CENTE,12E01,MOSHOLU MONTEFIORE NEIGHBORHOOD SR CT,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3450 DEKALB AVENUE,BRONX,10467,718-798-6601 
NEIGHBORHOOD SENIOR CENTE,12E03,MOSHOLU MONTEFIORE NEIGHBORHOOD SR CT,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3450 DEKALB AVENUE,BRONX,10467,718-798-6601 
NEIGHBORHOOD SENIOR CENTE,12G01,RAIN NEREID NEIGHBORHOOD SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,720 NEREID AVENUE,BROXN,10466,718-994-0132 
